experiment_name,algorithm_name,run_id,point_seed,algorithm_seed,scenario_point
formal_sgct_id_length_structured,SGCT,0,1925538688,3845388553,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,NLHQT(n=2),0,1925538688,3088226251,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,EMDT,0,1925538688,3929465793,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,DQTA(k_max=3),0,1925538688,2257631004,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,LAPCT,0,1925538688,3127324774,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,SGCT,1,2471820488,2597360844,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,NLHQT(n=2),1,2471820488,2231313039,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,EMDT,1,2471820488,3434432825,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,DQTA(k_max=3),1,2471820488,3783737310,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,LAPCT,1,2471820488,3596944360,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,SGCT,2,3365682978,3914013251,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,NLHQT(n=2),2,3365682978,592500398,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,EMDT,2,3365682978,3818562201,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,DQTA(k_max=3),2,3365682978,1346684178,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,LAPCT,2,3365682978,1209691730,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,SGCT,3,2968768536,446029170,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,NLHQT(n=2),3,2968768536,2005194125,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,EMDT,3,2968768536,3177797815,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,DQTA(k_max=3),3,2968768536,1207237526,"BINARY_LENGTH=64,scenario_label=random"
formal_sgct_id_length_structured,LAPCT,3,2968768536,2733859431,"BINARY_LENGTH=64,scenario_label=random"
